Interval Time,Interval Number,Resource Code,Interval Value
2025-06-17 00:14:59,1,DG_STHWG_UNIT1,0.0
2025-06-17 00:29:59,2,DG_STHWG_UNIT1,0.0
2025-06-17 00:44:59,3,DG_STHWG_UNIT1,0.0
2025-06-17 00:59:59,4,DG_STHWG_UNIT1,0.0
2025-06-17 01:14:59,5,DG_STHWG_UNIT1,0.0
2025-06-17 01:29:59,6,DG_STHWG_UNIT1,0.0
2025-06-17 01:44:59,7,DG_STHWG_UNIT1,0.0
2025-06-17 01:59:59,8,DG_STHWG_UNIT1,0.0
2025-06-17 02:14:59,9,DG_STHWG_UNIT1,0.0
2025-06-17 02:29:59,10,DG_STHWG_UNIT1,0.0
2025-06-17 02:44:59,11,DG_STHWG_UNIT1,0.0
2025-06-17 02:59:59,12,DG_STHWG_UNIT1,0.0
2025-06-17 03:14:59,13,DG_STHWG_UNIT1,0.0
2025-06-17 03:29:59,14,DG_STHWG_UNIT1,0.0
2025-06-17 03:44:59,15,DG_STHWG_UNIT1,0.0
2025-06-17 03:59:59,16,DG_STHWG_UNIT1,0.0
2025-06-17 04:14:59,17,DG_STHWG_UNIT1,0.0
2025-06-17 04:29:59,18,DG_STHWG_UNIT1,0.0
2025-06-17 04:44:59,19,DG_STHWG_UNIT1,0.0
2025-06-17 04:59:59,20,DG_STHWG_UNIT1,0.0
2025-06-17 05:14:59,21,DG_STHWG_UNIT1,0.0
2025-06-17 05:29:59,22,DG_STHWG_UNIT1,0.0
2025-06-17 05:44:59,23,DG_STHWG_UNIT1,0.0
2025-06-17 05:59:59,24,DG_STHWG_UNIT1,0.0
2025-06-17 06:14:59,25,DG_STHWG_UNIT1,0.0
2025-06-17 06:29:59,26,DG_STHWG_UNIT1,0.0
2025-06-17 06:44:59,27,DG_STHWG_UNIT1,0.0
2025-06-17 06:59:59,28,DG_STHWG_UNIT1,0.008703
2025-06-17 07:14:59,29,DG_STHWG_UNIT1,0.024315
2025-06-17 07:29:59,30,DG_STHWG_UNIT1,0.076515
2025-06-17 07:44:59,31,DG_STHWG_UNIT1,0.115548
2025-06-17 07:59:59,32,DG_STHWG_UNIT1,0.1319299999
2025-06-17 08:14:59,33,DG_STHWG_UNIT1,0.231134
2025-06-17 08:29:59,34,DG_STHWG_UNIT1,0.5350869999
2025-06-17 08:44:59,35,DG_STHWG_UNIT1,0.7685539999
2025-06-17 08:59:59,36,DG_STHWG_UNIT1,0.8505239999
2025-06-17 09:14:59,37,DG_STHWG_UNIT1,0.9575719999
2025-06-17 09:29:59,38,DG_STHWG_UNIT1,0.98924
2025-06-17 09:44:59,39,DG_STHWG_UNIT1,0.9999019999
2025-06-17 09:59:59,40,DG_STHWG_UNIT1,1.0169349999
2025-06-17 10:14:59,41,DG_STHWG_UNIT1,1.026726
2025-06-17 10:29:59,42,DG_STHWG_UNIT1,1.036667
2025-06-17 10:44:59,43,DG_STHWG_UNIT1,1.042272
2025-06-17 10:59:59,44,DG_STHWG_UNIT1,1.040451
2025-06-17 11:14:59,45,DG_STHWG_UNIT1,1.0464929999
2025-06-17 11:29:59,46,DG_STHWG_UNIT1,1.0488489999
2025-06-17 11:44:59,47,DG_STHWG_UNIT1,1.0506819999
2025-06-17 11:59:59,48,DG_STHWG_UNIT1,1.056854
2025-06-17 12:14:59,49,DG_STHWG_UNIT1,1.058048
2025-06-17 12:29:59,50,DG_STHWG_UNIT1,1.056378
2025-06-17 12:44:59,51,DG_STHWG_UNIT1,1.054141
2025-06-17 12:59:59,52,DG_STHWG_UNIT1,1.049177
2025-06-17 13:14:59,53,DG_STHWG_UNIT1,1.0542769999
2025-06-17 13:29:59,54,DG_STHWG_UNIT1,1.0303979999
2025-06-17 13:44:59,55,DG_STHWG_UNIT1,1.025532
2025-06-17 13:59:59,56,DG_STHWG_UNIT1,1.00288
2025-06-17 14:14:59,57,DG_STHWG_UNIT1,0.896611
2025-06-17 14:29:59,58,DG_STHWG_UNIT1,0.945389
2025-06-17 14:44:59,59,DG_STHWG_UNIT1,0.7743379999
2025-06-17 14:59:59,60,DG_STHWG_UNIT1,1.025964
2025-06-17 15:14:59,61,DG_STHWG_UNIT1,0.9398039999
2025-06-17 15:29:59,62,DG_STHWG_UNIT1,0.941265
2025-06-17 15:44:59,63,DG_STHWG_UNIT1,0.9327839999
2025-06-17 15:59:59,64,DG_STHWG_UNIT1,0.857874
2025-06-17 16:14:59,65,DG_STHWG_UNIT1,0.940736
2025-06-17 16:29:59,66,DG_STHWG_UNIT1,1.04589
2025-06-17 16:44:59,67,DG_STHWG_UNIT1,1.004903
2025-06-17 16:59:59,68,DG_STHWG_UNIT1,0.9636909999
2025-06-17 17:14:59,69,DG_STHWG_UNIT1,1.003926
2025-06-17 17:29:59,70,DG_STHWG_UNIT1,0.8986159999
2025-06-17 17:44:59,71,DG_STHWG_UNIT1,0.845099
2025-06-17 17:59:59,72,DG_STHWG_UNIT1,0.8973539999
2025-06-17 18:14:59,73,DG_STHWG_UNIT1,0.882537
2025-06-17 18:29:59,74,DG_STHWG_UNIT1,0.79103
2025-06-17 18:44:59,75,DG_STHWG_UNIT1,0.741743
2025-06-17 18:59:59,76,DG_STHWG_UNIT1,0.5823359999
2025-06-17 19:14:59,77,DG_STHWG_UNIT1,0.393647
2025-06-17 19:29:59,78,DG_STHWG_UNIT1,0.229154
2025-06-17 19:44:59,79,DG_STHWG_UNIT1,0.122892
2025-06-17 19:59:59,80,DG_STHWG_UNIT1,0.063362
2025-06-17 20:14:59,81,DG_STHWG_UNIT1,0.0284669999
2025-06-17 20:29:59,82,DG_STHWG_UNIT1,0.003285
2025-06-17 20:44:59,83,DG_STHWG_UNIT1,0.0
2025-06-17 20:59:59,84,DG_STHWG_UNIT1,0.0
2025-06-17 21:14:59,85,DG_STHWG_UNIT1,0.0
2025-06-17 21:29:59,86,DG_STHWG_UNIT1,0.0
2025-06-17 21:44:59,87,DG_STHWG_UNIT1,0.0
2025-06-17 21:59:59,88,DG_STHWG_UNIT1,0.0
2025-06-17 22:14:59,89,DG_STHWG_UNIT1,0.0
2025-06-17 22:29:59,90,DG_STHWG_UNIT1,0.0
2025-06-17 22:44:59,91,DG_STHWG_UNIT1,0.0
2025-06-17 22:59:59,92,DG_STHWG_UNIT1,0.0
2025-06-17 23:14:59,93,DG_STHWG_UNIT1,0.0
2025-06-17 23:29:59,94,DG_STHWG_UNIT1,0.0
2025-06-17 23:44:59,95,DG_STHWG_UNIT1,0.0
2025-06-17 23:59:59,96,DG_STHWG_UNIT1,0.0
2025-06-18 00:14:59,1,DG_STHWG_UNIT1,0.0
2025-06-18 00:29:59,2,DG_STHWG_UNIT1,0.0
2025-06-18 00:44:59,3,DG_STHWG_UNIT1,0.0
2025-06-18 00:59:59,4,DG_STHWG_UNIT1,0.0
2025-06-18 01:14:59,5,DG_STHWG_UNIT1,0.0
2025-06-18 01:29:59,6,DG_STHWG_UNIT1,0.0
2025-06-18 01:44:59,7,DG_STHWG_UNIT1,0.0
2025-06-18 01:59:59,8,DG_STHWG_UNIT1,0.0
2025-06-18 02:14:59,9,DG_STHWG_UNIT1,0.0
2025-06-18 02:29:59,10,DG_STHWG_UNIT1,0.0
2025-06-18 02:44:59,11,DG_STHWG_UNIT1,0.0
2025-06-18 02:59:59,12,DG_STHWG_UNIT1,0.0
2025-06-18 03:14:59,13,DG_STHWG_UNIT1,0.0
2025-06-18 03:29:59,14,DG_STHWG_UNIT1,0.0
2025-06-18 03:44:59,15,DG_STHWG_UNIT1,0.0
2025-06-18 03:59:59,16,DG_STHWG_UNIT1,0.0
2025-06-18 04:14:59,17,DG_STHWG_UNIT1,0.0
2025-06-18 04:29:59,18,DG_STHWG_UNIT1,0.0
2025-06-18 04:44:59,19,DG_STHWG_UNIT1,0.0
2025-06-18 04:59:59,20,DG_STHWG_UNIT1,0.0
2025-06-18 05:14:59,21,DG_STHWG_UNIT1,0.0
2025-06-18 05:29:59,22,DG_STHWG_UNIT1,0.0
2025-06-18 05:44:59,23,DG_STHWG_UNIT1,0.0
2025-06-18 05:59:59,24,DG_STHWG_UNIT1,0.0
2025-06-18 06:14:59,25,DG_STHWG_UNIT1,0.0
2025-06-18 06:29:59,26,DG_STHWG_UNIT1,0.0
2025-06-18 06:44:59,27,DG_STHWG_UNIT1,0.0
2025-06-18 06:59:59,28,DG_STHWG_UNIT1,0.008984
2025-06-18 07:14:59,29,DG_STHWG_UNIT1,0.061926
2025-06-18 07:29:59,30,DG_STHWG_UNIT1,0.1563239999
2025-06-18 07:44:59,31,DG_STHWG_UNIT1,0.279498
2025-06-18 07:59:59,32,DG_STHWG_UNIT1,0.418694
2025-06-18 08:14:59,33,DG_STHWG_UNIT1,0.561408
2025-06-18 08:29:59,34,DG_STHWG_UNIT1,0.698181
2025-06-18 08:44:59,35,DG_STHWG_UNIT1,0.799474
2025-06-18 08:59:59,36,DG_STHWG_UNIT1,0.8592239999
2025-06-18 09:14:59,37,DG_STHWG_UNIT1,0.893428
2025-06-18 09:29:59,38,DG_STHWG_UNIT1,0.932004
2025-06-18 09:44:59,39,DG_STHWG_UNIT1,0.962439
2025-06-18 09:59:59,40,DG_STHWG_UNIT1,0.985786
2025-06-18 10:14:59,41,DG_STHWG_UNIT1,0.992754
2025-06-18 10:29:59,42,DG_STHWG_UNIT1,1.000123
2025-06-18 10:44:59,43,DG_STHWG_UNIT1,1.0119499999
2025-06-18 10:59:59,44,DG_STHWG_UNIT1,1.019746
2025-06-18 11:14:59,45,DG_STHWG_UNIT1,1.02064
2025-06-18 11:29:59,46,DG_STHWG_UNIT1,1.0272969999
2025-06-18 11:44:59,47,DG_STHWG_UNIT1,1.02607
2025-06-18 11:59:59,48,DG_STHWG_UNIT1,1.0491079999
2025-06-18 12:14:59,49,DG_STHWG_UNIT1,1.059965
2025-06-18 12:29:59,50,DG_STHWG_UNIT1,1.043153
2025-06-18 12:44:59,51,DG_STHWG_UNIT1,1.058581
2025-06-18 12:59:59,52,DG_STHWG_UNIT1,1.026769
2025-06-18 13:14:59,53,DG_STHWG_UNIT1,1.02816
2025-06-18 13:29:59,54,DG_STHWG_UNIT1,0.791177
2025-06-18 13:44:59,55,DG_STHWG_UNIT1,0.923342
2025-06-18 13:59:59,56,DG_STHWG_UNIT1,0.8671959999
2025-06-18 14:14:59,57,DG_STHWG_UNIT1,0.973341
2025-06-18 14:29:59,58,DG_STHWG_UNIT1,0.7943989999
2025-06-18 14:44:59,59,DG_STHWG_UNIT1,0.8050699999
2025-06-18 14:59:59,60,DG_STHWG_UNIT1,0.8861639999
2025-06-18 15:14:59,61,DG_STHWG_UNIT1,1.078
2025-06-18 15:29:59,62,DG_STHWG_UNIT1,1.051709
2025-06-18 15:44:59,63,DG_STHWG_UNIT1,1.065587
2025-06-18 15:59:59,64,DG_STHWG_UNIT1,1.0182009999
2025-06-18 16:14:59,65,DG_STHWG_UNIT1,1.057892
2025-06-18 16:29:59,66,DG_STHWG_UNIT1,1.0322849999
2025-06-18 16:44:59,67,DG_STHWG_UNIT1,1.024805
2025-06-18 16:59:59,68,DG_STHWG_UNIT1,1.0075069999
2025-06-18 17:14:59,69,DG_STHWG_UNIT1,0.986975
2025-06-18 17:29:59,70,DG_STHWG_UNIT1,0.97343
2025-06-18 17:44:59,71,DG_STHWG_UNIT1,0.9546059999
2025-06-18 17:59:59,72,DG_STHWG_UNIT1,0.899274
2025-06-18 18:14:59,73,DG_STHWG_UNIT1,0.807006
2025-06-18 18:29:59,74,DG_STHWG_UNIT1,0.7773759999
2025-06-18 18:44:59,75,DG_STHWG_UNIT1,0.643607
2025-06-18 18:59:59,76,DG_STHWG_UNIT1,0.553759
2025-06-18 19:14:59,77,DG_STHWG_UNIT1,0.3714359999
2025-06-18 19:29:59,78,DG_STHWG_UNIT1,0.21934
2025-06-18 19:44:59,79,DG_STHWG_UNIT1,0.122138
2025-06-18 19:59:59,80,DG_STHWG_UNIT1,0.0671739999
2025-06-18 20:14:59,81,DG_STHWG_UNIT1,0.030717
2025-06-18 20:29:59,82,DG_STHWG_UNIT1,0.004182
2025-06-18 20:44:59,83,DG_STHWG_UNIT1,0.0
2025-06-18 20:59:59,84,DG_STHWG_UNIT1,0.0
2025-06-18 21:14:59,85,DG_STHWG_UNIT1,0.0
2025-06-18 21:29:59,86,DG_STHWG_UNIT1,0.0
2025-06-18 21:44:59,87,DG_STHWG_UNIT1,0.0
2025-06-18 21:59:59,88,DG_STHWG_UNIT1,0.0
2025-06-18 22:14:59,89,DG_STHWG_UNIT1,0.0
2025-06-18 22:29:59,90,DG_STHWG_UNIT1,0.0
2025-06-18 22:44:59,91,DG_STHWG_UNIT1,0.0
2025-06-18 22:59:59,92,DG_STHWG_UNIT1,0.0
2025-06-18 23:14:59,93,DG_STHWG_UNIT1,0.0
2025-06-18 23:29:59,94,DG_STHWG_UNIT1,0.0
2025-06-18 23:44:59,95,DG_STHWG_UNIT1,0.0
2025-06-18 23:59:59,96,DG_STHWG_UNIT1,0.0
2025-06-19 00:14:59,1,DG_STHWG_UNIT1,0.0
2025-06-19 00:29:59,2,DG_STHWG_UNIT1,0.0
2025-06-19 00:44:59,3,DG_STHWG_UNIT1,0.0
2025-06-19 00:59:59,4,DG_STHWG_UNIT1,0.0
2025-06-19 01:14:59,5,DG_STHWG_UNIT1,0.0
2025-06-19 01:29:59,6,DG_STHWG_UNIT1,0.0
2025-06-19 01:44:59,7,DG_STHWG_UNIT1,0.0
2025-06-19 01:59:59,8,DG_STHWG_UNIT1,0.0
2025-06-19 02:14:59,9,DG_STHWG_UNIT1,0.0
2025-06-19 02:29:59,10,DG_STHWG_UNIT1,0.0
2025-06-19 02:44:59,11,DG_STHWG_UNIT1,0.0
2025-06-19 02:59:59,12,DG_STHWG_UNIT1,0.0
2025-06-19 03:14:59,13,DG_STHWG_UNIT1,0.0
2025-06-19 03:29:59,14,DG_STHWG_UNIT1,0.0
2025-06-19 03:44:59,15,DG_STHWG_UNIT1,0.0
2025-06-19 03:59:59,16,DG_STHWG_UNIT1,0.0
2025-06-19 04:14:59,17,DG_STHWG_UNIT1,0.0
2025-06-19 04:29:59,18,DG_STHWG_UNIT1,0.0
2025-06-19 04:44:59,19,DG_STHWG_UNIT1,0.0
2025-06-19 04:59:59,20,DG_STHWG_UNIT1,0.0
2025-06-19 05:14:59,21,DG_STHWG_UNIT1,0.0
2025-06-19 05:29:59,22,DG_STHWG_UNIT1,0.0
2025-06-19 05:44:59,23,DG_STHWG_UNIT1,0.0
2025-06-19 05:59:59,24,DG_STHWG_UNIT1,0.0
2025-06-19 06:14:59,25,DG_STHWG_UNIT1,0.0
2025-06-19 06:29:59,26,DG_STHWG_UNIT1,0.0
2025-06-19 06:44:59,27,DG_STHWG_UNIT1,0.0
2025-06-19 06:59:59,28,DG_STHWG_UNIT1,0.002451
2025-06-19 07:14:59,29,DG_STHWG_UNIT1,0.015395
2025-06-19 07:29:59,30,DG_STHWG_UNIT1,0.0449869999
2025-06-19 07:44:59,31,DG_STHWG_UNIT1,0.097043
2025-06-19 07:59:59,32,DG_STHWG_UNIT1,0.1450019999
2025-06-19 08:14:59,33,DG_STHWG_UNIT1,0.131549
2025-06-19 08:29:59,34,DG_STHWG_UNIT1,0.0704339999
2025-06-19 08:44:59,35,DG_STHWG_UNIT1,0.1362339999
2025-06-19 08:59:59,36,DG_STHWG_UNIT1,0.482756
2025-06-19 09:14:59,37,DG_STHWG_UNIT1,0.397282
2025-06-19 09:29:59,38,DG_STHWG_UNIT1,0.641548
2025-06-19 09:44:59,39,DG_STHWG_UNIT1,0.999159
2025-06-19 09:59:59,40,DG_STHWG_UNIT1,0.7095869999
2025-06-19 10:14:59,41,DG_STHWG_UNIT1,0.6996569999
2025-06-19 10:29:59,42,DG_STHWG_UNIT1,0.5702819999
2025-06-19 10:44:59,43,DG_STHWG_UNIT1,0.607678
2025-06-19 10:59:59,44,DG_STHWG_UNIT1,1.077164
2025-06-19 11:14:59,45,DG_STHWG_UNIT1,1.014007
2025-06-19 11:29:59,46,DG_STHWG_UNIT1,0.6852989999
2025-06-19 11:44:59,47,DG_STHWG_UNIT1,0.884417
2025-06-19 11:59:59,48,DG_STHWG_UNIT1,0.9348189999
2025-06-19 12:14:59,49,DG_STHWG_UNIT1,0.949963
2025-06-19 12:29:59,50,DG_STHWG_UNIT1,0.7673769999
2025-06-19 12:44:59,51,DG_STHWG_UNIT1,1.043824
2025-06-19 12:59:59,52,DG_STHWG_UNIT1,1.036521
2025-06-19 13:14:59,53,DG_STHWG_UNIT1,0.7719549999
2025-06-19 13:29:59,54,DG_STHWG_UNIT1,0.76558
2025-06-19 13:44:59,55,DG_STHWG_UNIT1,0.614291
2025-06-19 13:59:59,56,DG_STHWG_UNIT1,0.88761
2025-06-19 14:14:59,57,DG_STHWG_UNIT1,0.6667999999
2025-06-19 14:29:59,58,DG_STHWG_UNIT1,0.5147169999
2025-06-19 14:44:59,59,DG_STHWG_UNIT1,0.8242199999
2025-06-19 14:59:59,60,DG_STHWG_UNIT1,0.570934
2025-06-19 15:14:59,61,DG_STHWG_UNIT1,0.5253569999
2025-06-19 15:29:59,62,DG_STHWG_UNIT1,0.9609649999
2025-06-19 15:44:59,63,DG_STHWG_UNIT1,0.565311
2025-06-19 15:59:59,64,DG_STHWG_UNIT1,0.9587029999
2025-06-19 16:14:59,65,DG_STHWG_UNIT1,1.0364599999
2025-06-19 16:29:59,66,DG_STHWG_UNIT1,1.03888
2025-06-19 16:44:59,67,DG_STHWG_UNIT1,0.8095149999
2025-06-19 16:59:59,68,DG_STHWG_UNIT1,0.742738
2025-06-19 17:14:59,69,DG_STHWG_UNIT1,0.8680449999
2025-06-19 17:29:59,70,DG_STHWG_UNIT1,1.0005759999
2025-06-19 17:44:59,71,DG_STHWG_UNIT1,0.937544
2025-06-19 17:59:59,72,DG_STHWG_UNIT1,0.920744
2025-06-19 18:14:59,73,DG_STHWG_UNIT1,0.887564
2025-06-19 18:29:59,74,DG_STHWG_UNIT1,0.620476
2025-06-19 18:44:59,75,DG_STHWG_UNIT1,0.740415
2025-06-19 18:59:59,76,DG_STHWG_UNIT1,0.5855979999
2025-06-19 19:14:59,77,DG_STHWG_UNIT1,0.3970239999
2025-06-19 19:29:59,78,DG_STHWG_UNIT1,0.233327
2025-06-19 19:44:59,79,DG_STHWG_UNIT1,0.1255979999
2025-06-19 19:59:59,80,DG_STHWG_UNIT1,0.0665759999
2025-06-19 20:14:59,81,DG_STHWG_UNIT1,0.029835
2025-06-19 20:29:59,82,DG_STHWG_UNIT1,0.003282
2025-06-19 20:44:59,83,DG_STHWG_UNIT1,0.0
2025-06-19 20:59:59,84,DG_STHWG_UNIT1,0.0
2025-06-19 21:14:59,85,DG_STHWG_UNIT1,0.0
2025-06-19 21:29:59,86,DG_STHWG_UNIT1,0.0
2025-06-19 21:44:59,87,DG_STHWG_UNIT1,0.0
2025-06-19 21:59:59,88,DG_STHWG_UNIT1,0.0
2025-06-19 22:14:59,89,DG_STHWG_UNIT1,0.0
2025-06-19 22:29:59,90,DG_STHWG_UNIT1,0.0
2025-06-19 22:44:59,91,DG_STHWG_UNIT1,0.0
2025-06-19 22:59:59,92,DG_STHWG_UNIT1,0.0
2025-06-19 23:14:59,93,DG_STHWG_UNIT1,0.0
2025-06-19 23:29:59,94,DG_STHWG_UNIT1,0.0
2025-06-19 23:44:59,95,DG_STHWG_UNIT1,0.0
2025-06-19 23:59:59,96,DG_STHWG_UNIT1,0.0
2025-06-20 00:14:59,1,DG_STHWG_UNIT1,0.0
2025-06-20 00:29:59,2,DG_STHWG_UNIT1,0.0
2025-06-20 00:44:59,3,DG_STHWG_UNIT1,0.0
2025-06-20 00:59:59,4,DG_STHWG_UNIT1,0.0
2025-06-20 01:14:59,5,DG_STHWG_UNIT1,0.0
2025-06-20 01:29:59,6,DG_STHWG_UNIT1,0.0
2025-06-20 01:44:59,7,DG_STHWG_UNIT1,0.0
2025-06-20 01:59:59,8,DG_STHWG_UNIT1,0.0
2025-06-20 02:14:59,9,DG_STHWG_UNIT1,0.0
2025-06-20 02:29:59,10,DG_STHWG_UNIT1,0.0
2025-06-20 02:44:59,11,DG_STHWG_UNIT1,0.0
2025-06-20 02:59:59,12,DG_STHWG_UNIT1,0.0
2025-06-20 03:14:59,13,DG_STHWG_UNIT1,0.0
2025-06-20 03:29:59,14,DG_STHWG_UNIT1,0.0
2025-06-20 03:44:59,15,DG_STHWG_UNIT1,0.0
2025-06-20 03:59:59,16,DG_STHWG_UNIT1,0.0
2025-06-20 04:14:59,17,DG_STHWG_UNIT1,0.0
2025-06-20 04:29:59,18,DG_STHWG_UNIT1,0.0
2025-06-20 04:44:59,19,DG_STHWG_UNIT1,0.0
2025-06-20 04:59:59,20,DG_STHWG_UNIT1,0.0
2025-06-20 05:14:59,21,DG_STHWG_UNIT1,0.0
2025-06-20 05:29:59,22,DG_STHWG_UNIT1,0.0
2025-06-20 05:44:59,23,DG_STHWG_UNIT1,0.0
2025-06-20 05:59:59,24,DG_STHWG_UNIT1,0.0
2025-06-20 06:14:59,25,DG_STHWG_UNIT1,0.0
2025-06-20 06:29:59,26,DG_STHWG_UNIT1,0.0
2025-06-20 06:44:59,27,DG_STHWG_UNIT1,0.0
2025-06-20 06:59:59,28,DG_STHWG_UNIT1,0.0022889999
2025-06-20 07:14:59,29,DG_STHWG_UNIT1,0.0263579999
2025-06-20 07:29:59,30,DG_STHWG_UNIT1,0.1446909999
2025-06-20 07:44:59,31,DG_STHWG_UNIT1,0.2640509999
2025-06-20 07:59:59,32,DG_STHWG_UNIT1,0.225084
2025-06-20 08:14:59,33,DG_STHWG_UNIT1,0.05471
2025-06-20 08:29:59,34,DG_STHWG_UNIT1,0.0477759999
2025-06-20 08:44:59,35,DG_STHWG_UNIT1,0.0860319999
2025-06-20 08:59:59,36,DG_STHWG_UNIT1,0.184069
2025-06-20 09:14:59,37,DG_STHWG_UNIT1,0.8932499999
2025-06-20 09:29:59,38,DG_STHWG_UNIT1,0.8203249999
2025-06-20 09:44:59,39,DG_STHWG_UNIT1,0.8738839999
2025-06-20 09:59:59,40,DG_STHWG_UNIT1,1.03224
2025-06-20 10:14:59,41,DG_STHWG_UNIT1,1.002634
2025-06-20 10:29:59,42,DG_STHWG_UNIT1,0.615252
2025-06-20 10:44:59,43,DG_STHWG_UNIT1,0.7248459999
2025-06-20 10:59:59,44,DG_STHWG_UNIT1,0.6039189999
2025-06-20 11:14:59,45,DG_STHWG_UNIT1,1.083834
2025-06-20 11:29:59,46,DG_STHWG_UNIT1,0.986546
2025-06-20 11:44:59,47,DG_STHWG_UNIT1,0.878332
2025-06-20 11:59:59,48,DG_STHWG_UNIT1,0.9568769999
2025-06-20 12:14:59,49,DG_STHWG_UNIT1,1.033676
2025-06-20 12:29:59,50,DG_STHWG_UNIT1,1.0316609999
2025-06-20 12:44:59,51,DG_STHWG_UNIT1,0.6141189999
2025-06-20 12:59:59,52,DG_STHWG_UNIT1,1.093097
2025-06-20 13:14:59,53,DG_STHWG_UNIT1,0.9425689999
2025-06-20 13:29:59,54,DG_STHWG_UNIT1,0.8659949999
2025-06-20 13:44:59,55,DG_STHWG_UNIT1,0.919513
2025-06-20 13:59:59,56,DG_STHWG_UNIT1,0.531514
2025-06-20 14:14:59,57,DG_STHWG_UNIT1,0.9628069999
2025-06-20 14:29:59,58,DG_STHWG_UNIT1,1.055642
2025-06-20 14:44:59,59,DG_STHWG_UNIT1,0.9908759999
2025-06-20 14:59:59,60,DG_STHWG_UNIT1,0.7032939999
2025-06-20 15:14:59,61,DG_STHWG_UNIT1,0.7418139999
2025-06-20 15:29:59,62,DG_STHWG_UNIT1,0.7855999999
2025-06-20 15:44:59,63,DG_STHWG_UNIT1,0.5843439999
2025-06-20 15:59:59,64,DG_STHWG_UNIT1,0.9374329999
2025-06-20 16:14:59,65,DG_STHWG_UNIT1,0.884086
2025-06-20 16:29:59,66,DG_STHWG_UNIT1,0.777826
2025-06-20 16:44:59,67,DG_STHWG_UNIT1,0.5558199999
2025-06-20 16:59:59,68,DG_STHWG_UNIT1,0.7613769999
2025-06-20 17:14:59,69,DG_STHWG_UNIT1,0.8385669999
2025-06-20 17:29:59,70,DG_STHWG_UNIT1,0.8891299999
2025-06-20 17:44:59,71,DG_STHWG_UNIT1,0.9903539999
2025-06-20 17:59:59,72,DG_STHWG_UNIT1,0.683185
2025-06-20 18:14:59,73,DG_STHWG_UNIT1,0.924207
2025-06-20 18:29:59,74,DG_STHWG_UNIT1,0.7307799999
2025-06-20 18:44:59,75,DG_STHWG_UNIT1,0.778352
2025-06-20 18:59:59,76,DG_STHWG_UNIT1,0.617677
2025-06-20 19:14:59,77,DG_STHWG_UNIT1,0.422231
2025-06-20 19:29:59,78,DG_STHWG_UNIT1,0.232513
2025-06-20 19:44:59,79,DG_STHWG_UNIT1,0.114783
2025-06-20 19:59:59,80,DG_STHWG_UNIT1,0.059407
2025-06-20 20:14:59,81,DG_STHWG_UNIT1,0.028129
2025-06-20 20:29:59,82,DG_STHWG_UNIT1,0.004086
2025-06-20 20:44:59,83,DG_STHWG_UNIT1,0.0
2025-06-20 20:59:59,84,DG_STHWG_UNIT1,0.0
2025-06-20 21:14:59,85,DG_STHWG_UNIT1,0.0
2025-06-20 21:29:59,86,DG_STHWG_UNIT1,0.0
2025-06-20 21:44:59,87,DG_STHWG_UNIT1,0.0
2025-06-20 21:59:59,88,DG_STHWG_UNIT1,0.0
2025-06-20 22:14:59,89,DG_STHWG_UNIT1,0.0
2025-06-20 22:29:59,90,DG_STHWG_UNIT1,0.0
2025-06-20 22:44:59,91,DG_STHWG_UNIT1,0.0
2025-06-20 22:59:59,92,DG_STHWG_UNIT1,0.0
2025-06-20 23:14:59,93,DG_STHWG_UNIT1,0.0
2025-06-20 23:29:59,94,DG_STHWG_UNIT1,0.0
2025-06-20 23:44:59,95,DG_STHWG_UNIT1,0.0
2025-06-20 23:59:59,96,DG_STHWG_UNIT1,0.0
2025-06-21 00:14:59,1,DG_STHWG_UNIT1,0.0
2025-06-21 00:29:59,2,DG_STHWG_UNIT1,0.0
2025-06-21 00:44:59,3,DG_STHWG_UNIT1,0.0
2025-06-21 00:59:59,4,DG_STHWG_UNIT1,0.0
2025-06-21 01:14:59,5,DG_STHWG_UNIT1,0.0
2025-06-21 01:29:59,6,DG_STHWG_UNIT1,0.0
2025-06-21 01:44:59,7,DG_STHWG_UNIT1,0.0
2025-06-21 01:59:59,8,DG_STHWG_UNIT1,0.0
2025-06-21 02:14:59,9,DG_STHWG_UNIT1,0.0
2025-06-21 02:29:59,10,DG_STHWG_UNIT1,0.0
2025-06-21 02:44:59,11,DG_STHWG_UNIT1,0.0
2025-06-21 02:59:59,12,DG_STHWG_UNIT1,0.0
2025-06-21 03:14:59,13,DG_STHWG_UNIT1,0.0
2025-06-21 03:29:59,14,DG_STHWG_UNIT1,0.0
2025-06-21 03:44:59,15,DG_STHWG_UNIT1,0.0
2025-06-21 03:59:59,16,DG_STHWG_UNIT1,0.0
2025-06-21 04:14:59,17,DG_STHWG_UNIT1,0.0
2025-06-21 04:29:59,18,DG_STHWG_UNIT1,0.0
2025-06-21 04:44:59,19,DG_STHWG_UNIT1,0.0
2025-06-21 04:59:59,20,DG_STHWG_UNIT1,0.0
2025-06-21 05:14:59,21,DG_STHWG_UNIT1,0.0
2025-06-21 05:29:59,22,DG_STHWG_UNIT1,0.0
2025-06-21 05:44:59,23,DG_STHWG_UNIT1,0.0
2025-06-21 05:59:59,24,DG_STHWG_UNIT1,0.0
2025-06-21 06:14:59,25,DG_STHWG_UNIT1,0.0
2025-06-21 06:29:59,26,DG_STHWG_UNIT1,0.0
2025-06-21 06:44:59,27,DG_STHWG_UNIT1,0.0
