Interval Time,Interval Number,Resource Code,Interval Value
2025-06-17 00:14:59,1,DAN_BESS1,0.0
2025-06-17 00:29:59,2,DAN_BESS1,0.0
2025-06-17 00:44:59,3,DAN_BESS1,0.0
2025-06-17 00:59:59,4,DAN_BESS1,0.0
2025-06-17 01:14:59,5,DAN_BESS1,0.0
2025-06-17 01:29:59,6,DAN_BESS1,0.0
2025-06-17 01:44:59,7,DAN_BESS1,0.0
2025-06-17 01:59:59,8,DAN_BESS1,0.0
2025-06-17 02:14:59,9,DAN_BESS1,0.0
2025-06-17 02:29:59,10,DAN_BESS1,0.0
2025-06-17 02:44:59,11,DAN_BESS1,0.0
2025-06-17 02:59:59,12,DAN_BESS1,0.0
2025-06-17 03:14:59,13,DAN_BESS1,0.0
2025-06-17 03:29:59,14,DAN_BESS1,0.0
2025-06-17 03:44:59,15,DAN_BESS1,0.0
2025-06-17 03:59:59,16,DAN_BESS1,0.0
2025-06-17 04:14:59,17,DAN_BESS1,0.0
2025-06-17 04:29:59,18,DAN_BESS1,0.0
2025-06-17 04:44:59,19,DAN_BESS1,0.0
2025-06-17 04:59:59,20,DAN_BESS1,0.0
2025-06-17 05:14:59,21,DAN_BESS1,0.0
2025-06-17 05:29:59,22,DAN_BESS1,0.0
2025-06-17 05:44:59,23,DAN_BESS1,0.0
2025-06-17 05:59:59,24,DAN_BESS1,0.0
2025-06-17 06:14:59,25,DAN_BESS1,9.058222
2025-06-17 06:29:59,26,DAN_BESS1,7.0167469999
2025-06-17 06:44:59,27,DAN_BESS1,0.0088319999
2025-06-17 06:59:59,28,DAN_BESS1,0.0090039999
2025-06-17 07:14:59,29,DAN_BESS1,0.0067629999
2025-06-17 07:29:59,30,DAN_BESS1,0.0
2025-06-17 07:44:59,31,DAN_BESS1,0.024884
2025-06-17 07:59:59,32,DAN_BESS1,0.010977
2025-06-17 08:14:59,33,DAN_BESS1,0.028943
2025-06-17 08:29:59,34,DAN_BESS1,0.0009979999
2025-06-17 08:44:59,35,DAN_BESS1,0.0
2025-06-17 08:59:59,36,DAN_BESS1,0.0
2025-06-17 09:14:59,37,DAN_BESS1,0.0
2025-06-17 09:29:59,38,DAN_BESS1,0.0
2025-06-17 09:44:59,39,DAN_BESS1,0.0009979999
2025-06-17 09:59:59,40,DAN_BESS1,0.0517519999
2025-06-17 10:14:59,41,DAN_BESS1,0.2183199999
2025-06-17 10:29:59,42,DAN_BESS1,0.235299
2025-06-17 10:44:59,43,DAN_BESS1,0.1426
2025-06-17 10:59:59,44,DAN_BESS1,0.092713
2025-06-17 11:14:59,45,DAN_BESS1,0.261431
2025-06-17 11:29:59,46,DAN_BESS1,0.0059899999
2025-06-17 11:44:59,47,DAN_BESS1,0.001994
2025-06-17 11:59:59,48,DAN_BESS1,0.159716
2025-06-17 12:14:59,49,DAN_BESS1,0.225492
2025-06-17 12:29:59,50,DAN_BESS1,0.212557
2025-06-17 12:44:59,51,DAN_BESS1,0.095781
2025-06-17 12:59:59,52,DAN_BESS1,0.102911
2025-06-17 13:14:59,53,DAN_BESS1,0.0339189999
2025-06-17 13:29:59,54,DAN_BESS1,0.0
2025-06-17 13:44:59,55,DAN_BESS1,0.0
2025-06-17 13:59:59,56,DAN_BESS1,0.0
2025-06-17 14:14:59,57,DAN_BESS1,0.129563
2025-06-17 14:29:59,58,DAN_BESS1,0.066849
2025-06-17 14:44:59,59,DAN_BESS1,0.0
2025-06-17 14:59:59,60,DAN_BESS1,0.0
2025-06-17 15:14:59,61,DAN_BESS1,0.1544379999
2025-06-17 15:29:59,62,DAN_BESS1,0.036837
2025-06-17 15:44:59,63,DAN_BESS1,0.0
2025-06-17 15:59:59,64,DAN_BESS1,0.003987
2025-06-17 16:14:59,65,DAN_BESS1,0.0
2025-06-17 16:29:59,66,DAN_BESS1,0.1148219999
2025-06-17 16:44:59,67,DAN_BESS1,0.027879
2025-06-17 16:59:59,68,DAN_BESS1,0.0
2025-06-17 17:14:59,69,DAN_BESS1,0.048792
2025-06-17 17:29:59,70,DAN_BESS1,0.1555499999
2025-06-17 17:44:59,71,DAN_BESS1,0.3259759999
2025-06-17 17:59:59,72,DAN_BESS1,0.033938
2025-06-17 18:14:59,73,DAN_BESS1,0.085549
2025-06-17 18:29:59,74,DAN_BESS1,0.0089669999
2025-06-17 18:44:59,75,DAN_BESS1,0.018912
2025-06-17 18:59:59,76,DAN_BESS1,0.065581
2025-06-17 19:14:59,77,DAN_BESS1,0.129836
2025-06-17 19:29:59,78,DAN_BESS1,5.127054
2025-06-17 19:44:59,79,DAN_BESS1,8.315143
2025-06-17 19:59:59,80,DAN_BESS1,15.493046
2025-06-17 20:14:59,81,DAN_BESS1,2.7360289999
2025-06-17 20:29:59,82,DAN_BESS1,2.227739
2025-06-17 20:44:59,83,DAN_BESS1,0.0
2025-06-17 20:59:59,84,DAN_BESS1,0.0
2025-06-17 21:14:59,85,DAN_BESS1,0.0
2025-06-17 21:29:59,86,DAN_BESS1,0.0
2025-06-17 21:44:59,87,DAN_BESS1,0.0
2025-06-17 21:59:59,88,DAN_BESS1,0.0
2025-06-17 22:14:59,89,DAN_BESS1,0.0
2025-06-17 22:29:59,90,DAN_BESS1,0.0
2025-06-17 22:44:59,91,DAN_BESS1,0.0
2025-06-17 22:59:59,92,DAN_BESS1,0.0
2025-06-17 23:14:59,93,DAN_BESS1,0.0
2025-06-17 23:29:59,94,DAN_BESS1,0.0
2025-06-17 23:44:59,95,DAN_BESS1,0.0
2025-06-17 23:59:59,96,DAN_BESS1,0.0
2025-06-18 00:14:59,1,DAN_BESS1,0.0
2025-06-18 00:29:59,2,DAN_BESS1,0.0
2025-06-18 00:44:59,3,DAN_BESS1,0.0
2025-06-18 00:59:59,4,DAN_BESS1,0.0
2025-06-18 01:14:59,5,DAN_BESS1,0.0
2025-06-18 01:29:59,6,DAN_BESS1,0.0
2025-06-18 01:44:59,7,DAN_BESS1,0.0
2025-06-18 01:59:59,8,DAN_BESS1,0.0
2025-06-18 02:14:59,9,DAN_BESS1,0.0
2025-06-18 02:29:59,10,DAN_BESS1,0.0
2025-06-18 02:44:59,11,DAN_BESS1,0.0
2025-06-18 02:59:59,12,DAN_BESS1,0.0
2025-06-18 03:14:59,13,DAN_BESS1,0.0
2025-06-18 03:29:59,14,DAN_BESS1,0.0
2025-06-18 03:44:59,15,DAN_BESS1,0.0
2025-06-18 03:59:59,16,DAN_BESS1,0.0
2025-06-18 04:14:59,17,DAN_BESS1,0.0
2025-06-18 04:29:59,18,DAN_BESS1,0.0
2025-06-18 04:44:59,19,DAN_BESS1,0.0
2025-06-18 04:59:59,20,DAN_BESS1,0.0
2025-06-18 05:14:59,21,DAN_BESS1,0.0
2025-06-18 05:29:59,22,DAN_BESS1,0.0
2025-06-18 05:44:59,23,DAN_BESS1,0.0
2025-06-18 05:59:59,24,DAN_BESS1,0.0
2025-06-18 06:14:59,25,DAN_BESS1,4.8516779999
2025-06-18 06:29:59,26,DAN_BESS1,14.569729
2025-06-18 06:44:59,27,DAN_BESS1,2.638923
2025-06-18 06:59:59,28,DAN_BESS1,0.012059
2025-06-18 07:14:59,29,DAN_BESS1,0.0624619999
2025-06-18 07:29:59,30,DAN_BESS1,0.0613809999
2025-06-18 07:44:59,31,DAN_BESS1,0.0834889999
2025-06-18 07:59:59,32,DAN_BESS1,0.0
2025-06-18 08:14:59,33,DAN_BESS1,0.141428
2025-06-18 08:29:59,34,DAN_BESS1,0.0
2025-06-18 08:44:59,35,DAN_BESS1,0.0888
2025-06-18 08:59:59,36,DAN_BESS1,0.013004
2025-06-18 09:14:59,37,DAN_BESS1,0.110685
2025-06-18 09:29:59,38,DAN_BESS1,0.045849
2025-06-18 09:44:59,39,DAN_BESS1,0.0
2025-06-18 09:59:59,40,DAN_BESS1,0.0
2025-06-18 10:14:59,41,DAN_BESS1,0.0
2025-06-18 10:29:59,42,DAN_BESS1,0.0
2025-06-18 10:44:59,43,DAN_BESS1,0.0
2025-06-18 10:59:59,44,DAN_BESS1,0.0
2025-06-18 11:14:59,45,DAN_BESS1,0.0159189999
2025-06-18 11:29:59,46,DAN_BESS1,0.0
2025-06-18 11:44:59,47,DAN_BESS1,0.014938
2025-06-18 11:59:59,48,DAN_BESS1,0.0
2025-06-18 12:14:59,49,DAN_BESS1,0.0
2025-06-18 12:29:59,50,DAN_BESS1,0.0924969999
2025-06-18 12:44:59,51,DAN_BESS1,0.035963
2025-06-18 12:59:59,52,DAN_BESS1,0.012968
2025-06-18 13:14:59,53,DAN_BESS1,0.0009979999
2025-06-18 13:29:59,54,DAN_BESS1,0.0
2025-06-18 13:44:59,55,DAN_BESS1,0.0
2025-06-18 13:59:59,56,DAN_BESS1,0.042914
2025-06-18 14:14:59,57,DAN_BESS1,0.105833
2025-06-18 14:29:59,58,DAN_BESS1,0.038855
2025-06-18 14:44:59,59,DAN_BESS1,0.0
2025-06-18 14:59:59,60,DAN_BESS1,0.037883
2025-06-18 15:14:59,61,DAN_BESS1,0.0468449999
2025-06-18 15:29:59,62,DAN_BESS1,0.0
2025-06-18 15:44:59,63,DAN_BESS1,0.0558849999
2025-06-18 15:59:59,64,DAN_BESS1,0.029923
2025-06-18 16:14:59,65,DAN_BESS1,0.0299789999
2025-06-18 16:29:59,66,DAN_BESS1,0.018966
2025-06-18 16:44:59,67,DAN_BESS1,0.041862
2025-06-18 16:59:59,68,DAN_BESS1,0.032881
2025-06-18 17:14:59,69,DAN_BESS1,0.086716
2025-06-18 17:29:59,70,DAN_BESS1,0.0189579999
2025-06-18 17:44:59,71,DAN_BESS1,0.044856
2025-06-18 17:59:59,72,DAN_BESS1,0.025912
2025-06-18 18:14:59,73,DAN_BESS1,0.011924
2025-06-18 18:29:59,74,DAN_BESS1,0.026893
2025-06-18 18:44:59,75,DAN_BESS1,0.024792
2025-06-18 18:59:59,76,DAN_BESS1,0.268463
2025-06-18 19:14:59,77,DAN_BESS1,0.0484899999
2025-06-18 19:29:59,78,DAN_BESS1,9.3339169999
2025-06-18 19:44:59,79,DAN_BESS1,18.6898969999
2025-06-18 19:59:59,80,DAN_BESS1,18.58632
2025-06-18 20:14:59,81,DAN_BESS1,18.584053
2025-06-18 20:29:59,82,DAN_BESS1,18.5928359999
2025-06-18 20:44:59,83,DAN_BESS1,15.368672
2025-06-18 20:59:59,84,DAN_BESS1,0.004816
2025-06-18 21:14:59,85,DAN_BESS1,0.000723
2025-06-18 21:29:59,86,DAN_BESS1,0.0
2025-06-18 21:44:59,87,DAN_BESS1,0.0
2025-06-18 21:59:59,88,DAN_BESS1,0.0
2025-06-18 22:14:59,89,DAN_BESS1,0.0
2025-06-18 22:29:59,90,DAN_BESS1,0.0
2025-06-18 22:44:59,91,DAN_BESS1,0.0
2025-06-18 22:59:59,92,DAN_BESS1,0.0
2025-06-18 23:14:59,93,DAN_BESS1,0.0
2025-06-18 23:29:59,94,DAN_BESS1,0.0
2025-06-18 23:44:59,95,DAN_BESS1,0.0
2025-06-18 23:59:59,96,DAN_BESS1,0.0
2025-06-19 00:14:59,1,DAN_BESS1,0.0
2025-06-19 00:29:59,2,DAN_BESS1,0.0
2025-06-19 00:44:59,3,DAN_BESS1,0.0
2025-06-19 00:59:59,4,DAN_BESS1,0.0
2025-06-19 01:14:59,5,DAN_BESS1,0.0
2025-06-19 01:29:59,6,DAN_BESS1,0.0
2025-06-19 01:44:59,7,DAN_BESS1,0.0
2025-06-19 01:59:59,8,DAN_BESS1,0.0
2025-06-19 02:14:59,9,DAN_BESS1,0.0
2025-06-19 02:29:59,10,DAN_BESS1,0.0
2025-06-19 02:44:59,11,DAN_BESS1,0.0
2025-06-19 02:59:59,12,DAN_BESS1,0.0
2025-06-19 03:14:59,13,DAN_BESS1,0.0
2025-06-19 03:29:59,14,DAN_BESS1,0.0
2025-06-19 03:44:59,15,DAN_BESS1,0.0
2025-06-19 03:59:59,16,DAN_BESS1,0.0
2025-06-19 04:14:59,17,DAN_BESS1,0.0
2025-06-19 04:29:59,18,DAN_BESS1,0.0
2025-06-19 04:44:59,19,DAN_BESS1,0.0
2025-06-19 04:59:59,20,DAN_BESS1,0.0
2025-06-19 05:14:59,21,DAN_BESS1,0.0
2025-06-19 05:29:59,22,DAN_BESS1,0.0
2025-06-19 05:44:59,23,DAN_BESS1,0.0
2025-06-19 05:59:59,24,DAN_BESS1,0.0
2025-06-19 06:14:59,25,DAN_BESS1,0.0
2025-06-19 06:29:59,26,DAN_BESS1,0.0
2025-06-19 06:44:59,27,DAN_BESS1,0.001237
2025-06-19 06:59:59,28,DAN_BESS1,0.0019819999
2025-06-19 07:14:59,29,DAN_BESS1,0.0260519999
2025-06-19 07:29:59,30,DAN_BESS1,0.0
2025-06-19 07:44:59,31,DAN_BESS1,0.004989
2025-06-19 07:59:59,32,DAN_BESS1,0.001
2025-06-19 08:14:59,33,DAN_BESS1,0.0
2025-06-19 08:29:59,34,DAN_BESS1,0.0
2025-06-19 08:44:59,35,DAN_BESS1,0.0
2025-06-19 08:59:59,36,DAN_BESS1,0.0
2025-06-19 09:14:59,37,DAN_BESS1,0.0
2025-06-19 09:29:59,38,DAN_BESS1,0.0
2025-06-19 09:44:59,39,DAN_BESS1,0.0
2025-06-19 09:59:59,40,DAN_BESS1,0.016878
2025-06-19 10:14:59,41,DAN_BESS1,0.0449359999
2025-06-19 10:29:59,42,DAN_BESS1,0.114538
2025-06-19 10:44:59,43,DAN_BESS1,0.0357289999
2025-06-19 10:59:59,44,DAN_BESS1,0.025978
2025-06-19 11:14:59,45,DAN_BESS1,0.193114
2025-06-19 11:29:59,46,DAN_BESS1,0.018956
2025-06-19 11:44:59,47,DAN_BESS1,0.115426
2025-06-19 11:59:59,48,DAN_BESS1,0.281216
2025-06-19 12:14:59,49,DAN_BESS1,0.1810519999
2025-06-19 12:29:59,50,DAN_BESS1,0.215748
